state,city,city_pop,cvs_count,under,under_count
Massachusetts,Newton,88414,2,True,1.0
Massachusetts,Lowell,110997,5,False,-2.0
Massachusetts,Worcester,185428,10,False,-4.0
Massachusetts,Springfield,153606,6,False,-1.0
Massachusetts,Cambridge,118927,6,False,-2.0
Massachusetts,Boston,692600,27,False,-6.0
Massachusetts,Brockton,95708,7,False,-4.0
Massachusetts,New Bedford,95363,4,False,-1.0
Massachusetts,Quincy,94470,3,False,0.0
Massachusetts,Fall River,89541,4,False,-1.0
Maryland,Baltimore,593490,29,False,-11.0
Maryland,Frederick,72244,7,False,-5.0
Maryland,Rockville,68079,10,False,-8.0
Maryland,Gaithersburg,67985,6,False,-4.0
Maryland,Bowie,58643,5,False,-3.0
Maine,Portland,66215,4,False,-2.0
Louisiana,Lafayette,126185,11,False,-7.0
Louisiana,Kenner,66340,3,False,-1.0
Louisiana,Lake Charles,78396,4,False,-2.0
Louisiana,Baton Rouge,220236,15,False,-8.0
Louisiana,Shreveport,187112,9,False,-3.0
Louisiana,New Orleans,390144,13,False,-1.0
Kentucky,Louisville,617638,22,False,-3.0
Kentucky,Lexington,323152,5,True,5.0
Kentucky,Bowling Green,70543,3,False,-1.0
Kentucky,Owensboro,60131,3,False,-1.0
Kansas,Wichita,389938,7,True,5.0
Kansas,Overland Park,195494,11,False,-5.0
Kansas,Olathe,140545,5,False,-1.0
Kansas,Topeka,125310,2,True,2.0
Kansas,Lawrence,98193,3,False,0.0
Kansas,Shawnee,65807,4,False,-2.0
Kansas,Lenexa,55625,2,False,0.0
Kansas,Manhattan,54604,1,True,1.0
Iowa,Cedar Rapids,133562,6,False,-2.0
Iowa,Des Moines,214237,4,True,2.0
Iowa,Davenport,101590,3,True,0.0
Iowa,West Des Moines,67899,2,True,0.0
Iowa,Ankeny,67355,2,True,0.0
Iowa,Waterloo,67328,3,False,-1.0
Iowa,Ames,66258,2,False,0.0
Iowa,Council Bluffs,62166,2,False,0.0
Iowa,Dubuque,57882,1,True,1.0
Indiana,Gary,74879,1,True,1.0
Indiana,Mishawaka,50363,2,False,0.0
Indiana,Elkhart,52358,4,False,-2.0
Indiana,Anderson,54765,4,False,-2.0
Indiana,Kokomo,58020,5,False,-3.0
Indiana,Terre Haute,60622,5,False,-3.0
Indiana,Noblesville,64668,6,False,-4.0
Indiana,Muncie,67999,5,False,-3.0
Indiana,Lafayette,71721,6,False,-4.0
Indiana,West Lafayette,50996,2,False,0.0
Indiana,Hammond,75522,1,True,1.0
Indiana,Evansville,117979,18,False,-14.0
Indiana,Bloomington,85755,8,False,-5.0
Indiana,Indianapolis,876384,55,False,-29.0
Indiana,Fort Wayne,270402,14,False,-6.0
Indiana,Greenwood,59458,4,False,-2.0
Indiana,South Bend,102026,7,False,-4.0
Indiana,Carmel,101068,7,False,-4.0
Indiana,Fishers,95310,6,False,-3.0
Illinois,Peoria,110417,7,False,-4.0
Illinois,Wheaton,52745,3,False,-1.0
Illinois,Decatur,70746,4,False,-2.0
Illinois,Evanston,73473,5,False,-3.0
Illinois,Bloomington,77330,2,True,0.0
Illinois,Waukegan,86075,3,False,0.0
Illinois,Champaign,88909,4,False,-1.0
Illinois,Springfield,114230,9,False,-6.0
Illinois,Elgin,110849,2,True,1.0
Illinois,Rockford,145609,8,False,-4.0
Illinois,Joliet,147344,4,True,0.0
Illinois,Aurora,197757,4,True,2.0
Illinois,Chicago,2693976,70,True,11.0
Illinois,Naperville,148449,3,True,1.0
Idaho,Nampa,99277,1,True,2.0
Idaho,Twin Falls,50197,1,True,1.0
Idaho,Boise,228959,1,True,6.0
Georgia,Sandy Springs,109452,3,True,0.0
Georgia,Valdosta,56457,1,True,1.0
Georgia,Smyrna,56666,4,False,-2.0
Georgia,Alpharetta,67213,8,False,-6.0
Georgia,Albany,72130,2,True,0.0
Georgia,Warner Robins,77617,7,False,-5.0
Georgia,Roswell,94763,5,False,-2.0
Georgia,Marietta,60867,13,False,-11.0
Georgia,Athens,126913,7,False,-3.0
Georgia,Macon,153159,9,False,-4.0
Georgia,Columbus,195769,8,False,-2.0
Georgia,Augusta,197888,6,False,0.0
Georgia,Atlanta,506811,35,False,-20.0
Georgia,Savannah,144464,13,False,-9.0
Florida,Fort Myers,87103,15,False,-12.0
Florida,Daytona Beach,69186,3,False,-1.0
Florida,Delray Beach,69451,5,False,-3.0
Florida,Homestead,69523,5,False,-3.0
Florida,North Port,70724,1,True,1.0
Florida,Kissimmee,72717,12,False,-10.0
Florida,Lauderhill,71868,3,False,-1.0
Florida,Doral,65741,4,False,-2.0
Florida,Boynton Beach,78679,9,False,-7.0
Florida,Deerfield Beach,81066,4,False,-2.0
Florida,Melbourne,83029,6,False,-4.0
Florida,Tamarac,66721,3,False,-1.0
Florida,Sanford,61448,3,False,-1.0
Florida,Port Orange,64842,4,False,-2.0
Florida,North Miami,62822,2,False,0.0
Florida,Coconut Creek,61248,2,False,0.0
Florida,Ocala,60786,9,False,-7.0
Florida,Bonita Springs,59637,3,False,-1.0
Florida,Bradenton,59439,9,False,-7.0
Florida,Margate,58796,2,False,0.0
Florida,Sarasota,58285,13,False,-11.0
Florida,Palm Beach Gardens,57704,1,True,1.0
Florida,Pinellas Park,53637,4,False,-2.0
Florida,Apopka,53447,2,False,0.0
Florida,Largo,84948,7,False,-4.0
Florida,Weston,71166,2,True,0.0
Florida,Miami Beach,88885,6,False,-3.0
Florida,Miramar,141191,5,False,-1.0
Florida,Coral Gables,49700,2,False,-1.0
Florida,Jacksonville,911507,32,False,-5.0
Florida,Miami,467963,82,False,-68.0
Florida,Tampa,399700,29,False,-17.0
Florida,Orlando,287442,43,False,-34.0
Florida,Hialeah,233339,19,False,-12.0
Florida,Tallahassee,194500,13,False,-7.0
Florida,Cape Coral,194495,6,False,0.0
Florida,Fort Lauderdale,182437,11,False,-6.0
Florida,Pembroke Pines,173591,7,False,-2.0
Florida,Hollywood,154817,8,False,-3.0
Florida,Gainesville,133997,12,False,-8.0
Florida,Palm Coast,89800,3,False,0.0
Florida,Coral Springs,133759,8,False,-4.0
Florida,Clearwater,116946,9,False,-5.0
Florida,Palm Bay,115552,3,True,0.0
Florida,Lakeland,112136,9,False,-6.0
Florida,Pompano Beach,112118,4,False,-1.0
Florida,West Palm Beach,111955,13,False,-10.0
Florida,Miami Gardens,110001,2,True,1.0
Florida,Boca Raton,99805,11,False,-8.0
Florida,Sunrise,95166,2,True,1.0
Florida,Plantation,94580,4,False,-1.0
Florida,Deltona,92757,2,True,1.0
Florida,Pensacola,52975,14,False,-12.0
District of Columbia,Washington,705749,64,False,-43.0
Delaware,Wilmington,70166,4,False,-2.0
Connecticut,Bristol,59947,3,False,-1.0
Connecticut,Bridgeport,144399,3,True,1.0
Connecticut,New Haven,130250,3,True,1.0
Connecticut,Stamford,129638,9,False,-5.0
Connecticut,Hartford,122105,6,False,-2.0
Connecticut,Waterbury,107568,5,False,-2.0
Connecticut,Norwalk,88816,4,False,-1.0
Connecticut,Danbury,84694,4,False,-1.0
Connecticut,New Britain,72495,3,False,-1.0
Connecticut,Meriden,59395,4,False,-2.0
Connecticut,West Haven,54620,3,False,-1.0
Connecticut,Milford,53195,3,False,-1.0
Colorado,Loveland,78877,1,True,1.0
Colorado,Boulder,105673,1,True,2.0
Colorado,Longmont,97261,1,True,2.0
Colorado,Greeley,108649,1,True,2.0
Colorado,Grand Junction,63597,1,True,1.0
Colorado,Westminster,113166,2,True,1.0
Colorado,Pueblo,112361,1,True,2.0
Colorado,Lakewood,157935,2,True,3.0
Colorado,Arvada,121272,1,True,3.0
Colorado,Thornton,141464,1,True,3.0
Colorado,Fort Collins,170243,2,True,3.0
Colorado,Aurora,379289,5,True,6.0
Colorado,Colorado Springs,478221,6,True,8.0
Colorado,Denver,727211,7,True,15.0
California,Upland,77140,5,False,-3.0
California,Madera,65860,2,False,0.0
California,San Ramon,75995,4,False,-2.0
California,Baldwin Park,75251,3,False,-1.0
California,Rancho Cordova,75087,2,True,0.0
California,Turlock,73631,3,False,-1.0
California,Pittsburg,72588,2,True,0.0
California,Redlands,71513,4,False,-2.0
California,Walnut Creek,70166,4,False,-2.0
California,Westminster,90643,3,False,0.0
California,Camarillo,69888,5,False,-3.0
California,Lynwood,69887,1,True,1.0
California,Davis,69413,3,False,-1.0
California,Lake Elsinore,69283,3,False,-1.0
California,Rocklin,68823,3,False,-1.0
California,Yorba Linda,67644,2,True,0.0
California,Lodi,67586,3,False,-1.0
California,Redondo Beach,66749,4,False,-2.0
California,Napa,78130,3,False,-1.0
California,Alameda,77624,4,False,-2.0
California,Hemet,85334,5,False,-2.0
California,Lakewood,79307,5,False,-3.0
California,Tustin,79348,4,False,-2.0
California,Santa Monica,90401,4,False,-1.0
California,Livermore,90189,3,False,0.0
California,San Leandro,88815,4,False,-1.0
California,Citrus Heights,87796,1,True,2.0
California,Hawthorne,86068,4,False,-1.0
California,Lake Forest,85531,4,False,-1.0
California,Whittier,85098,5,False,-2.0
California,Newport Beach,84534,2,True,1.0
California,Milpitas,84196,1,True,2.0
California,Chino Hills,83853,2,True,1.0
California,Alhambra,83750,4,False,-1.0
California,Merced,83676,2,True,1.0
California,Manteca,83028,3,False,-1.0
California,Mountain View,82739,5,False,-3.0
California,Buena Park,81788,3,False,-1.0
California,Pleasanton,81777,3,False,-1.0
California,Folsom,81328,4,False,-2.0
California,Laguna Niguel,66385,4,False,-2.0
California,Corona,169868,5,True,0.0
California,Tulare,65496,4,False,-2.0
California,Arcadia,57939,2,False,0.0
California,Huntington Park,57509,2,False,0.0
California,Diamond Bar,55720,2,False,0.0
California,Novato,55516,3,False,-1.0
California,Highland,55417,2,False,0.0
California,Fountain Valley,55357,1,True,1.0
California,Colton,54824,1,True,1.0
California,Rosemead,54058,2,False,0.0
California,Paramount,53955,1,True,1.0
California,Yucaipa,53921,1,True,1.0
California,Watsonville,53856,3,False,-1.0
California,West Sacramento,53519,1,True,1.0
California,Palm Desert,53275,2,False,0.0
California,Glendora,51544,2,False,0.0
California,Placentia,51233,3,False,-1.0
California,Aliso Viejo,50887,2,False,0.0
California,Cerritos,49859,3,False,-2.0
California,Carson,91394,4,False,-1.0
California,Hanford,57703,3,False,-1.0
California,Santee,58081,2,False,0.0
California,Palo Alto,65364,3,False,-1.0
California,San Rafael,58440,3,False,-1.0
California,Dublin,64826,3,False,-1.0
California,Santa Cruz,64608,2,False,0.0
California,San Clemente,64558,3,False,-1.0
California,Brentwood,64474,2,False,0.0
California,Eastvale,64157,1,True,1.0
California,Encinitas,62709,3,False,-1.0
California,Pico Rivera,62027,3,False,-1.0
California,Montebello,61954,3,False,-1.0
California,Woodland,60548,2,False,0.0
California,Petaluma,60520,3,False,-1.0
California,La Habra,60513,4,False,-2.0
California,Monterey Park,59669,2,False,0.0
California,Porterville,59599,5,False,-3.0
California,Gardena,59329,2,False,0.0
California,Cupertino,59276,2,False,0.0
California,La Mesa,59249,2,False,0.0
California,Gilroy,59032,2,False,0.0
California,Santa Barbara,91364,7,False,-4.0
California,Oceanside,175742,6,False,-1.0
California,Indio,91765,3,False,0.0
California,Pasadena,141029,8,False,-4.0
California,Santa Clarita,212979,4,True,2.0
California,Oxnard,208881,3,True,3.0
California,Glendale,199303,4,True,2.0
California,Huntington Beach,199223,6,False,0.0
California,Ontario,185010,3,True,3.0
California,Rancho Cucamonga,177603,4,True,1.0
California,Redding,92590,6,False,-3.0
California,Elk Grove,174775,5,True,0.0
California,Garden Grove,171644,3,True,2.0
California,Hayward,159203,5,False,0.0
California,Lancaster,157601,6,False,-1.0
California,Salinas,155465,7,False,-2.0
California,Palmdale,155079,4,True,1.0
California,Sunnyvale,152703,4,True,1.0
California,Pomona,151691,4,True,1.0
California,Escondido,151625,6,False,-1.0
California,Torrance,143592,7,False,-3.0
California,Moreno Valley,213055,3,True,3.0
California,Fontana,214547,5,True,1.0
California,Modesto,215196,9,False,-3.0
California,Oakland,433031,8,True,5.0
California,Los Angeles,3979576,57,True,62.0
California,San Diego,1423851,36,True,7.0
California,San Jose,1021795,29,True,2.0
California,San Francisco,881549,24,True,2.0
California,Fresno,531576,18,False,-2.0
California,Sacramento,513624,17,False,-2.0
California,Long Beach,462628,13,True,1.0
California,Bakersfield,384145,14,False,-2.0
California,San Bernardino,215784,4,True,2.0
California,Anaheim,350365,10,True,1.0
California,Santa Ana,332318,8,True,2.0
California,Riverside,331360,11,False,-1.0
California,Stockton,312697,5,True,4.0
California,Irvine,287401,11,False,-2.0
California,Chula Vista,274492,8,True,0.0
California,Fremont,241110,5,True,2.0
California,Roseville,141500,6,False,-2.0
California,Santa Rosa,176753,6,False,-1.0
California,Orange,138669,6,False,-2.0
California,Inglewood,108151,4,False,-1.0
California,West Covina,105101,5,False,-2.0
California,San Mateo,104430,6,False,-3.0
California,Norwalk,103949,5,False,-2.0
California,Rialto,103526,1,True,2.0
California,Chico,103301,4,False,-1.0
California,El Cajon,102708,7,False,-4.0
California,Burbank,102511,7,False,-4.0
California,Vista,101638,6,False,-3.0
California,Vacaville,100670,3,True,0.0
California,San Marcos,96664,5,False,-2.0
California,Hesperia,95750,2,True,1.0
California,Fullerton,138632,6,False,-2.0
